,,,,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,,,,
Flow Studio Nano Banana,"A 4-frame horizontal sprite sheet strip for a confident walk animation, rendered in a rich, hand-painted digital art style with bold black outlines and volumetric lighting, matching the visual aesthetic and character design of Capitã Maré Alta in image_bacb58.png. The background is solid white.

The Character: Capitã Maré Alta, with voluminous red hair, her distinctive large tricorn hat, and her detailed maroon and gold frock coat with rich textures, worn over a fitted leather corset and breeches, completed by tall leather boots. She maintains a commanding, confident posture throughout the movement.

CRITICAL DETAIL: Her sheathed cutlass (sword) is clearly visible and sheathed on her left hip, partially covered by the coat, and her large flintlock pistol is tucked into her sash on her right hip. Both weapons are present and visible in every frame of the walk cycle.

The Animation Cycle (4 frames - Confident Stride):

Frame 1 (Contact - Right Lead): Right leg forward, making contact with the ground; left leg back pushing off. She is mid-swagger. The sheathed cutlass sways slightly back on her left hip; the pistol is prominent on her right.

Frame 2 (Passing - Upbeat): Right foot planted, left leg is bent and swinging forward. Her body is slightly raised. The flintlock pistol on her right hip is prominently visible against the maroon fabric of her coat. Her coat tails ripple slightly.

Frame 3 (Contact - Left Lead): Left leg forward, making contact; right leg back pushing off. Symmetric opposite of Frame 1.

Frame 4 (Passing - Upbeat): Left leg planted, right leg bent and swinging forward. Her body raised, leading back into Frame 1. Both weapons are clear and anchored, with her coat tails moving gently.

The volumetric lighting highlights the rich textures of the coat and the metallic parts of the weapons, making them pop against the white background. The swagger is authoritative.",https://drive.google.com/file/d/1myJuteZDhoOPIEwOsa6nLXRYE4kGyjaf/view?usp=drive_link,Sprite Sheet Maré Alta andando,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um sprite sheet da personagem capitã maré alta, para uma animação de andar. O sprite sheet deve ter 4 imagens da animação.

Apenas TEXTO! Eu quero o prompt em texto",,,,
KlingAI,Pirate ship saling across the ocean loop,https://drive.google.com/file/d/16fK82D066oLfXZUDPa-ZRd2kVp8T6_1i/view?usp=drive_link,Som navio pirata no mar,,,,,
SunoAI,"A faixa inicia com acordeão animado e percussão rústica de tambores, acompanhados de guitarra acústica dedilhada, simulando o balanço do navio, O refrão explode em coro com vozes roucas, risos, canecas tilintando, além de contrabaixo saltitante e flautas folclóricas",https://drive.google.com/file/d/1gRdvEpPULGMQ2WAK0BKeW3Uh_qbLHOV5/view?usp=drive_link,Musica da viagem pelo mar,Preciso de uma música que remeta a um momento engraçado de bebedeira pirata em alto mar.,,,,
Flow Studio Nano Banana,"A 3-frame horizontal animation sprite sheet in a single strip against a solid white background, depicting the character PinkBob, the rustic pink-haired pirate from pinkbob_com_rum.jpg, taking rum. The art style must be a strict match to the hand-painted digital art style with bold black outlines and painterly textures seen in the reference, including the ragged clothing, and rústic skin texture.

Animation Cycle (Drinking Rum - 3 frames):

Frame 1 (Left): Preparation: PinkBob is huddled, still retaining the core pose from the reference, but the bottle of rum is raised and tilted, with the neck of the bottle held to his lips. His head is tilted back slightly. His eyes are wide, focused on the bottle with an expression of intense anticipation. The level of rum in the bottle is high.

Frame 2 (Middle): The Gulp: Head fully tilted back. The bottle is inverted, with the rum pouring. He is visibly swallowing, with his throat in motion. Gulping effect. A few stray drops of rum are airborne. The bottle is significantly lower on rum. His cheeks are slightly puffed.

Frame 3 (Right): Satisfaction/Recovery: The head is lowered back towards neutral. The bottle is lowered and held at chest level (as in the reference, but lower after drinking). He is wiping his mouth with the back of his free, un-bandaged hand, with an expression of deep pleasure, relief, and contentment. Eyes are half-closed in satisfaction. Rum level in the bottle is much lower.

The entire sequence maintains the dramatic, volumetric lighting with warm fill and rich cool-toned shadows (blue/green) seen in the reference, applied to the hand-painted textures of the ragged clothes and hair. All three poses are huddled on the white ground, with only the upper body and head moving. The three frames are perfectly aligned and spaced on a white background.",https://drive.google.com/file/d/1zK3Ivw0_Q3aBviYJVskr1taVsBhiQdcU/view?usp=drive_link,Sprite Sheet PinkBob bebendo rum,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um sprite sheet do personagem PinkBob tomando rum. Ele deve estar em um fundo branco. O sprite sheet deve ter 3 frames da animação dele tomando rum

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",,,,
Flow Studio Nano Banana,"Um sprite sheet de animação horizontal de 3 quadros em uma única tira contra um fundo branco sólido, retratando a personagem Capitã Maré Alta em uma animação de ""tomar rum"". O estilo de arte deve corresponder rigorosamente ao estilo de arte digital pintado à mão, rico, texturizado e volumétrico com contornos pretos ousados, mantendo sua aparência distinta: cabelos ruivos volumosos, chapéu tricórnio, casaco de capitão marrom com bordados dourados, corpete e botas altas. A espada está embainhada em sua cintura em todos os frames para permitir que ela segure a garrafa com uma mão e limpe a boca com a outra.


Sequência de Animação (3 quadros):


Quadro 1 (Esquerda): Preparação. A Capitã Maré Alta está em uma pose de pé, segurando a garrafa de rum ""GROG"" (idêntica à referência) perto de seus lábios com uma mão, olhando para ela com uma expressão de antecipação desafiadora. A garrafa está cheia. Sua outra mão está livre e posicionada para limpar a boca.


Quadro 2 (Centro): O Gole. A cabeça da capitã está inclinada drasticamente para trás. A garrafa ""GROG"" é erguida alto e invertida, com rum (um líquido âmbar texturizado) visivelmente fluindo para sua boca aberta. Seus olhos estão fechados ou semicerrados em foco dramático. A garrafa está significativamente mais vazia.


Quadro 3 (Direita): Satisfação. A cabeça da capitã está abaixada, olhando para a garrafa. A garrafa ""GROG"" (agora visivelmente perto de vazia) é abaixada para o nível do peito. Ela usa as costas de sua mão livre para limpar a boca com uma expressão de satisfação e prazer, com um sorriso de escárnio leve. Seu cabelo ruivo está ligeiramente emaranhado com o movimento da cabeça.


Toda a sequência é iluminada volumetricamente para destacar as texturas do casaco, cabelo e garrafa. Os 3 frames estão perfeitamente alinhados e espaçados em um fundo branco puro.",https://drive.google.com/file/d/1BjSWs0EiyWIbnaoNcyTXIfj2Kw4-2Dlv/view?usp=drive_link,Sprite Sheet Maré Alta tomando rum,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um sprite sheet da personagem capitã maré alta, para uma animação de tomar rum. O sprite sheet deve ter 3 imagens da animação.

Apenas TEXTO! Eu quero o prompt em texto",,,,
Flow Studio Nano Banana,"Agora eu quero que você gere o mesmo convés, porém os barrís de rum devem estar caidos e abertos. Espalhe várias garrafas pelo convés",https://drive.google.com/file/d/18nzgqH7PIEa1Aw6-tiVs-1tYZqgjO_x8/view?usp=drive_link,Cenário: Convés sujo de rum,Passei a imagem do convés para o flow studio e pedi uma modificação,,,,
Flow Studio Nano Banana,"A full-body 2D character sprite of a robust and experienced female NPC deckhand from Capitã Maré Alta's crew, rendered in a rich, hand-painted digital art style with deep, painterly textures and bold, expressive black outlines, strictly matching the rugged and volumetric finish seen in the reference image. The deckhand stands firmly on her feet in a practical work pose, looking forward with a focused, experienced expression on her dark, weathered face. She has thick, practical dark brown hair styled in heavy braids and mostly covered by a faded, coarse canvas bandana (blue-green).

Her attire is functional work clothing: a rugged, off-white linen work shirt with sleeves rolled up, revealing muscular, sun-darkened arms, under a heavy canvas work vest (brown-green) with utilitarian pockets and simple brass buttons. A wide leather belt with simple brass buckles holds tools like a marlinspike, a coil of thin rope, and small pouches. She wears tough, knee-length heavy canvas breeches (dark gray) and robust, salt-worn leather deck boots. Stains of sea salt, tar, and rust are visible on her clothes. She holds a rustic, rough-hewn wooden deck brush with thick bristles in one hand, resting it on the white ground, and holds a section of thick, tarred rope over her shoulder with the other hand. A small section of thick rope is looped over her shoulder. The lighting is dramatic and warm, highlighting the tactile textures of the fabric, rope, wood, and skin against the solid white background. The full body is visible.",https://drive.google.com/file/d/19oG-cg0TR8osq-G3zk7q6scnvhQY-I1E/view?usp=drive_link,Personagem Maruja da Maré Alta (Elizabeth),"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para uma personagem npc marujo, ela trabalha no convés do navio da capitã maré alta. Ela deve estar em um fundo branco. 

E o estilo de arte deve ser condizente com o da personagem Mare alta também enviada como referência",,,,
Flow Studio Nano Banana,"A 3-frame horizontal animation sprite sheet strip against a solid white background, depicting the character Elizabeth from reference image. The art style strictly matches the rich, hand-painted digital illustration style with bold black outlines, deep textures, and volumetric lighting seen in the reference.

The Character (Elizabeth):
A Black female pirate with deep, dark skin and matted, voluminous, unkempt dark brown hair that falls around her shoulders, identical in texture to the reference. She retains her tattered teal (maroon/navy) frock coat over an off-white blouse, brown trousers, heavy boots, and her distinct dark glass 'GROG' rum bottle with its specific label and wrapped neck. She has bandaged hands and holds the bottle. Her expression is changed from paranoid fixity to one of confident, open laughter and manic happiness, with wide eyes and a broad, open-mouthed laugh.

The Animation (3 Horizontal Frames):

Frame 1 (Preparation): Elizabeth stands full-body and confidently on the white ground plane, looking directly at the viewer with a broad, open-mouthed, laughing expression. Her body is in an open, confident stance. She holds the dark 'GROG' rum bottle (full) in one hand, ready to drink, and is smiling manically.

Frame 2 (The Gulp): Her head is tilted dramatically back, exposing her throat. The 'GROG' bottle is inverted and held high against her lips, with dark, textured rum (amber liquid) visibly pouring into her open, accepting mouth. She is swallowing greedily, showing movement in her neck. Her eyes are closed or rolled back in intense, gratified focus. The bottle is half-empty. Her hair swings with the head movement.

Frame 3 (Satisfaction): Her head is lowered back to base level, still laughing. The 'GROG' bottle (now visibly near empty) is lowered to chest level, held tightly. She uses the back of her other bandaged hand to wipe her mouth, with an expression of deep, manic satisfaction and pleasure, still smiling and looking out. Her matted hair settles. The full body is visibe in all frames, aligned horizontally, perfectly spaced against the pure white background. Dramatic volumetric lighting highlights the matted hair and tattered clothes against the white.",https://drive.google.com/file/d/13WykZ1K_R0mkefUQ9PFzK3orOsAkVX3d/view?usp=drive_link,Sprite Sheet Elizabeth,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um sprite sheet da personagem da imagem enviada agora, o nome dela é elizabeth, para uma animação de tomar rum, ela está tomando rum em pé e está bem feliz, rindo até. O sprite sheet deve ter 3 imagens da animação.

Ela é uma pirata confiante que ama rum e é a marjua mais corajosa da tripulação da Maré Alta.

Apenas TEXTO! Eu quero o prompt em texto.",,,,
Flow Studio Nano Banana,"A wide-angle digital illustration of a luxurious pirate harbor environment. The setting is a lavish port built on a lush tropical island, illuminated by a vibrant, golden sunset. The docks themselves are highly ornate, constructed from polished dark wood heavily accented with gleaming white marble and intricate gold brasswork. Elegant market stalls draped in rich silks and opulent balconies with decorative warm-glowing lamps adorn the surrounding shoreline architecture.

Two distinct pirate ships are docked side-by-side at these docks. The first ship, positioned on the left and center, is a giant, magnificent galleon. Its hull is crafted from polished dark wood embellished with deep pink paint and gold filigree. It features massive masts carrying opulent, heavy pink velvet sails and is armed with shining golden brass cannons. Positioned to its right is the second ship, which is visibly smaller and significantly less luxurious. Its hull is made of rough, weathered, and battle-scarred dark wood. It features furled, patched canvas sails in faded earthy tones, creating a stark, rustic contrast to the opulence of the larger ship.

A thick, plush red velvet carpet extends diagonally across the docks, starting near the ships and leading down towards the bottom right corner of the frame. This path is elegantly flanked by ornate, burning brass fire torches. At the very end of the red carpet, near the bottom right edge, an ornate polished wooden sign with gold accents is mounted on a post, clearly reading ""MANSÃO"" in elegant golden calligraphy. In the background, lush, textured green hills rise toward the sunset sky, and the imposing silhouette of a large, detailed mansion is visible on the distant right peak. The art style is detailed and immersive, resembling high-end video game environment concept art.

The image exhibits a digital painting aesthetic with a focus on detailed rendering and environment-driven fantasy illustration. Color hues are rich and deeply saturated, employing a palette dominated by warm golden sunset tones, deep polished browns, and the striking pink and red accents of the galleon and carpet. Lighting is dramatic and volumetric, utilizing strong directional golden light from the setting sun and deep, cool-toned shadows to give the architecture, ships, and water a three-dimensional, sculpted quality and emphasize material textures. The rendering quality is high, featuring sharp details in the wood grain, metallic reflections on the brasswork, and the heavy folds of the velvet. Brushwork, though digitally applied, suggests traditional painting techniques, with noticeable texture variations and bold, expressive black outlines defining the forms. The overall mood is adventurous, wealthy, and highly stylized.",https://drive.google.com/file/d/1xRW74gJbD02tHZW923z-p_gngMH1nhNE/view?usp=drive_link,Cenário: Porto episódio II,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário de um porto super chique pirata, localizado na ilha da mansão do João Feijão, assim como na figura enviada. 

O porto é muito luxuoso e abriga dois navios, o primeiro é o Pérola Rosa (Navio do capitão barba rosa) e é super chique e gigante; Já o segundo navio é menor e bem menos luxuoso, é o navio da capitã Maré Alta (Vingadora). Um carpete vermelho se extende do porto até o fim da tela na direita, onde há uma placa escrito ""Mansão"".

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.","Precisei dar um reforço usando o estilo de prompt do whiskey novamente: 

Vou te dar um exemplo de como construir o estilo visual que estou buscando, e então vou querer que você faça o mesmo para a cena do porto.

Exemplo:

A full-body digital illustration of a male pirate character standing against a plain white background. The character appears to be a man in his 30s or 40s with a fair skin tone. He has bright, fiery red hair and a matching full beard, giving him a somewhat rugged look. He is wearing a typical pirate outfit. His head is adorned with a black tricorn hat, slightly cocked to one side, with gold trim and possibly a small skull or decorative element visible on the front.

He is dressed in a long, dark blue or slate-colored naval coat with golden buttons and red lining visible at the collar. Underneath the coat, he wears a white, somewhat ruffled shirt. His lower body is covered by striped trousers, featuring vertical alternating stripes of dark blue/black and light blue/white. He is wearing dark brown leather boots that reach approximately mid-calf.

The pirate is holding a dark glass bottle in his left hand, which is labeled with the word ""RUM"" and features a skull and crossbones emblem, suggesting a potent or dangerous beverage. His pose is frontal and confident, with his legs slightly spread and his expression showing a slight, mischievous smile. The art style is detailed and somewhat realistic, resembling character concept art or a video game character model.

The image exhibits a digital painting aesthetic with a focus on detailed rendering and character-driven fantasy illustration. The style is reminiscent of concept art or high-quality video game assets. Color hues are rich and slightly muted, employing a palette dominated by deep blues, browns, and earthy tones, contrasted by warm accents like the reddish-orange in the beard. Lighting is dramatic and directional, utilizing strong highlights and deep shadows to give figures a three-dimensional, sculpted quality and emphasize texture. The rendering quality is high, featuring sharp details, particularly in facial features and fabric textures, which have a rough, worn appearance. Brushwork, though digitally applied, suggests traditional painting techniques, with noticeable texture variations in the shadows and mid-tones. The overall mood is adventurous and stylized, with a slight exaggeration of features common in character design. The background is pure white, creating a cutout effect that emphasizes the subject and suggests an illustrative or reference context rather than a natural environment.",,,
Flow Studio Nano Banana,"Imagem anterior + Remova o personagem que está em pé no tapete.
Adicione uma escada que conecta o barco da direita a doca. E faça com que as velas do barco da direita não sejam remendadas",https://drive.google.com/file/d/1SLzZ7u8uxCGHoWTvzEWQcmoV06VFU-0L/view?usp=drive_link,Cenário: Porto episódio II final,Pedi para editar a imagem gerada do porto,,,,
Gemini Nano Banana,Preciso que a segunda imagem esteja no clima/horário correspondente ao da primeira imagem. E também preciso que o fundo seja condizente com a visão que teriamos no convés do barco que está a direita na primeira imagem,https://drive.google.com/file/d/14VUXglczmZTN-hQT8nQCe9v-jwq30f6r/view?usp=drive_link,Cenário: Convés Maré Alta de tarde na ilha,Pedi para que o clima da imagem fosse alterado para ficar semlhante ao da referência,,,,
Flow Studio Nano Banana,"Remova a placa escrito ""Mansão"", emova também o simbolo do gemini e as tochas de fogo",https://drive.google.com/file/d/1YF3bBdJtpdaoXbXrzJlgElbt68_vwaTB/view?usp=drive_link,Alterações no Cenário Conves Maré Alta de tarde na ilha,"Pedi para remover o simbolo do gemini, a placa mansão e as tochas.",,,,
Gemini,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário da porta da mansão do João Feijão, baseie-se na mansão que aparece no canto superior direito da imagem enviada para referência. A cena a ser feita será exatamente na frente da porta, antes de o jogador entrar la.


E o estilo visual deve ser condizente com o do personagem PinkBob também enviado como referência estética.","A front-on, detailed digital painting environment asset of the main entrance to João Feijão’s Mansion (as seen in the background of). The scene is from a ground-level viewpoint, looking slightly up at the massive front door, just before entry. The artwork features bold, expressive black outlines and rich, hand-painted textures, strictly matching the gritty, tactile, and highly detailed concept art model style seen in the character reference. Forms are sculpted and three-dimensional, with rich, deeply saturated colors dominated by warm golden hues and contrasting cool blue-green shadows, especially in the recessed area under the portico.

The central focus is an imposing, deeply textured double door made of dark, heavily weathered wood, studded with extensive hand-wrought iron hardware and filigree. It has large, elaborate dark metal pull-handles and a complex, weathered brass lockplate. The door is set within a grand, weathered plaster archway with ornate dark wood and detailed stone trim (as suggested by the mansion reference architecture). Flanking the door are two massive, ornate brass lamps with warm-glowing, flickering flames that cast dramatic volumetric lighting with strong highlights and deep, textured shadows across the weathered walls. Above the door is a detailed balcony with an intricate iron railing, with vines creeping up the wall. A sculpted, stylized motif of João Feijão's favorite object or unique pirate motif is set into the stone above the arch. A polished, slightly weathered wooden plaque next to the door features elegant golden calligraphy reading: **""MANSÃO DO JOÃO FEIJÃO""** or just **""MANSÃO""**, clearly legible. The ground consists of polished wood and marble tiles showing wear. The background beyond the portico is in deep shadow. The overall feel is wealthy yet tactile and lived-in.",Cenário: Mansão do João Feijão,Enviei o porto do ep 2 e o pinkbob como referencia e pedi para fazer o cenário,,,,
Gemini,"Eu estava pensando em uma frente um pouco mais parecida com o rascunho que estou enviado agora, pode ajustar?

Quero passar uma vibe meio terror nesse lado de fora, como se fosse uma mansão super chique mas que está ""abandonada"" pelo menos pelo lado de fora parece que vai ser algo assustador","Aqui está o prompt de texto detalhado para a arte do cenário da porta da mansão, ajustado para refletir o seu rascunho e a atmosfera de ""terror abandonado chique"", mantendo o estilo visual de PinkBob.

***

**Prompt de Geração de Imagem (Cenário de Jogo - Porta da Mansão):**

Uma ilustração frontal detalhada do cenário da entrada principal da Mansão do João Feijão, vista do nível do solo, logo antes da entrada. A estrutura é uma versão desbotada e deteriorada da mansão de madeira escura ornamentada e chique vista em `Porto_ep2_final.jpg`, agora carcomida por traças e coberta por teias de aranha espessas e poeira, criando uma vibe de terror e abandono chique. A iluminação é volumétrica e fraca, vinda de um céu noturno nublado, com névoa rastejante. O estilo de arte é arte digital pintada à mão com contornos pretos ousados, texturas rústicas e detalhadas e renderização de alta qualidade, semelhante a concept art ou assets de jogos de alta qualidade, condizente com o personagem PinkBob em `pinkbob_com_rum.jpg`.

**Integração do Rascunho:**
A entrada central, incluindo o arco acima e a porta dupla, é moldada como uma caveira gigante e assustadora. O arco de madeira acima da porta forma os olhos vazios e a cavidade nasal da caveira. Pequenas janelas estreitas e escuras e teias de aranha enchem essas cavidades.

**Detalhes da Porta:**
A porta dupla central é de madeira escura e rústica, coberta por ferragens de ferro forjado pesado e oxidado. Há puxadores de metal que parecem garras e um ferrolho complexo e corroído. O prompt deve incluir a placa solicitada anteriormente, agora desbotada e corroída. Ela é feita de madeira e brass dourado oxidado, com caligrafia dourada e elegante, agora desbotada e corroída, lendo: **""MANSÃO DO JOÃO FEIJÃO""** ou apenas **""MANSÃO""**, quase ilegível.

**Decoração e Atmosfera:**
Lâmpadas de metal ornamentadas e desmoronadas estão penduradas, sem luz, cobertas por poeira. A vegetação selvagem e espinhosa cresce nas frestas da madeira e da pedra carcomida. Teias de aranha espessas cobrem a placa desbotada. O chão de madeira polida está empenado e coberto de poeira e detritos. Uma videira de espinhos cresce em torno do ferrolho corroído. A vibe geral é de luxo que sucumbiu ao terror e ao tempo.

***

**English Text Prompt for Other AI:**

A detailed front-on digital environment background illustration of the main entrance to João Feijão’s Mansion, viewed from a ground-level perspective, right before entry. The scene is a faded, decaying, moth-eaten and dust-covered version of the ornate, chic dark wood architecture seen in `Porto_ep2_final.jpg`, creating a sense of horror and abandoned luxury. The lighting is weak, cool, and dramatic volumetric light from a cloudy night sky, with low-creeping mist and deep textured shadows. The art style features bold, expressive black outlines, rich hand-painted textures, and high-quality volumetric rendering, similar to concept art or high-end game assets, consistent with the visual aesthetic of the character PinkBob in `pinkbob_com_rum.jpg`.

The central entrance, including the archway above and the double door, is explicitly shaped like a giant, imposing skull. The wooden archway above the doors forms the wide, empty eyes and nasal cavity of the skull. Small, dark, narrow windows and thick cobwebs fill these cavities. The central double doors are made of dark, weathered wood heavily studded with extensive, oxidized wrought iron hardware and filigree. Large, ornate metal pull-handles that resemble claws and a complex, corroded iron bolt mechanism are present.

An ornate, corroded, faded brass plaque is mounted next to the door with once-elegant golden calligraphy, now faded and corroded, reading: **""MANSÃO DO JOÃO FEIJÃO""** or just **""MANSÃO""**, barely legible through dust and cobwebs. Ornate, dilapidated metal lamps are hung, unlit and covered in dust. Wild, thorny, unkempt vegetation grows through cracks in the aged wood and stone. A thick cobweb covers the faded sign. The floor of polished wood is warped and covered in dust and debris. A thorny vine wraps around the corroded ironwork. The overall mood is luxurious yet terrifying and decayed.",Cenário: Mansão do João Feijão,Enviei um esboço digital feito a mão da entrada da mansão,https://drive.google.com/file/d/1UeAeU7ImKH6urfarrtRvkomLvQgIs8Pr/view?usp=drive_link,,,
